[2020-05-14 21:59:18.450072] [info]: adexmtsv starts.
[2020-05-14 21:59:18.453362] [info]: Backend is https server.
[2020-05-14 21:59:19.031377] [info]: Start acceptor.
[2020-05-14 21:59:19.112893] [info]: New Pipe Session.
[2020-05-14 21:59:19.159768] [info]: New Pipe Session.
[2020-05-14 21:59:19.224595] [info]: New Pipe Session.
[2020-05-14 21:59:19.259501] [info]: New Pipe Session.
[2020-05-14 21:59:23.951521] [info]: New Pipe Session.
[2020-05-14 22:02:01.462215] [info]: New Pipe Session.
[2020-05-14 22:02:12.490906] [info]: set token : eyJhbGciOiJIUzI1NiIsImtpZCI6Imp3dF9zeW1tZXRyaWNfa2V5In0.eyJzY29wZSI6WyJkYXRhOnJlYWQiLCJkYXRhOndyaXRlIiwiZGF0YTpjcmVhdGUiLCJkYXRhOnNlYXJjaCIsInVzZXItcHJvZmlsZTpyZWFkIiwiYWNjb3VudDpyZWFkIiwiYWNjb3VudDp3cml0ZSJdLCJjbGllbnRfaWQiOiJQeHZKbUdZM1prOXBrV3BYOFU2dFQwUlRwVDRWdlRLSSIsImdyYW50X2lkIjoiUXFOMlJHR2ZURzEzV1VyaVpNMVhMVG5icENVbnRrNzYiLCJhdWQiOiJodHRwczovL2F1dG9kZXNrLmNvbS9hdWQvand0ZXhwNjAiLCJqdGkiOiJGSjBUUjhKT2ZMZjNpcHZ5Y1E1TGhjT2dMNkx2ckJxUjlkOEQzM1VIdVJuVlltejVlZ3RwZDZGRmpseEVlbWVlIiwidXNlcmlkIjoiS0Q1M0pRVlVHUEc2IiwiZXhwIjoxNTg5NDY0Nzc5fQ.NqHUq7p2vSJhQ3z6LikEzUxRhkE42ouP1SohdLzgvQA
[2020-05-14 22:02:12.491904] [info]: fetch category list with cookie: QueryCategory_BA5EE55E-9982-449B-9D66-9F036540E140environment
[2020-05-14 22:02:12.492901] [info]:  download file: resource/CategoryList/type=environment url:https://raas-assets.autodesk.com/Asset/CloudSearch?q=(and+(term+field%3D%27company%27+%27autodesk%27)(term+field%3D%27families%27+%27Prism.Fusion.2016%27)(range+field%3D%27schema_set_id%27+{,3]))&q.parser=structured&facet.category={sort:%27bucket%27,size:1000}&size=0&return=_no_fields&domain=environments
